id,country_region,date,total_cases,total_deaths,total_recovered
273,Aruba,2021-10-31,15925.0,171.0,15754.0
274,Aruba,2021-11-30,16354.0,174.0,16180.0
275,Aruba,2021-12-31,20461.0,181.0,20280.0
276,Aruba,2022-01-31,33000.0,193.0,32807.0
277,Aruba,2022-02-28,33684.0,211.0,33473.0
278,Aruba,2022-03-31,33929.0,212.0,33717.0
279,Aruba,2022-04-30,34846.0,212.0,34634.0
280,Aruba,2022-05-14,35693.0,213.0,35480.0
281,Australia,2020-02-29,25.0,0.0,25.0
282,Australia,2020-03-31,4763.0,20.0,4743.0
283,Australia,2020-04-30,6754.0,92.0,6662.0
284,Australia,2020-05-31,7195.0,102.0,7093.0
285,Australia,2020-06-30,7836.0,104.0,7732.0
286,Australia,2020-07-31,16905.0,200.0,16705.0
287,Australia,2020-08-31,25746.0,682.0,25064.0
288,Australia,2020-09-30,27078.0,924.0,26154.0
289,Australia,2020-10-31,27590.0,945.0,26645.0
290,Australia,2020-11-30,27904.0,946.0,26958.0
291,Australia,2020-12-31,28405.0,947.0,27458.0
292,Australia,2021-01-31,28811.0,947.0,27864.0
293,Australia,2021-02-28,28970.0,947.0,28023.0
294,Australia,2021-03-31,29304.0,947.0,28357.0
295,Australia,2021-04-30,29801.0,948.0,28853.0
296,Australia,2021-05-31,30106.0,948.0,29158.0
297,Australia,2021-06-30,30611.0,948.0,29663.0
298,Australia,2021-07-31,34130.0,962.0,33168.0
299,Australia,2021-08-31,53851.0,1045.0,52806.0
300,Australia,2021-09-30,105123.0,1346.0,103777.0
301,Australia,2021-10-31,170458.0,1820.0,168638.0
302,Australia,2021-11-30,210239.0,2109.0,208130.0
303,Australia,2021-12-31,395504.0,2353.0,393151.0
304,Australia,2022-01-31,2486589.0,3956.0,2482633.0
305,Australia,2022-02-28,3211078.0,5453.0,3205625.0
306,Australia,2022-03-31,4514207.0,6324.0,4507883.0
307,Australia,2022-04-30,5928306.0,7223.0,5921083.0
308,Australia,2022-05-14,6551624.0,7773.0,6543851.0
309,Austria,2020-02-29,10.0,0.0,10.0
310,Austria,2020-03-31,10180.0,138.0,10042.0
311,Austria,2020-04-30,15452.0,637.0,14815.0
312,Austria,2020-05-31,16731.0,723.0,16008.0
313,Austria,2020-06-30,17766.0,760.0,17006.0
314,Austria,2020-07-31,21130.0,773.0,20357.0
315,Austria,2020-08-31,27438.0,788.0,26650.0
316,Austria,2020-09-30,44813.0,855.0,43958.0
317,Austria,2020-10-31,104925.0,1189.0,103736.0
318,Austria,2020-11-30,282456.0,3463.0,278993.0
319,Austria,2020-12-31,360815.0,6789.0,354026.0
320,Austria,2021-01-31,414398.0,8437.0,405961.0
321,Austria,2021-02-28,459496.0,9355.0,450141.0
322,Austria,2021-03-31,546229.0,10214.0,536015.0
323,Austria,2021-04-30,618870.0,11166.0,607704.0
324,Austria,2021-05-31,644815.0,11600.0,633215.0
325,Austria,2021-06-30,650412.0,11702.0,638710.0
326,Austria,2021-07-31,659056.0,11737.0,647319.0
327,Austria,2021-08-31,688305.0,11772.0,676533.0
328,Austria,2021-09-30,743095.0,12024.0,731071.0
329,Austria,2021-10-31,830981.0,12401.0,818580.0
